I found out that I'm getting a bonus for having the top rating in my district!</s>		<pad> That's awesome! What district is it in?</s>		Congratulations! That is amazing! You must be a hard worker. What do you do?</s>
I was bowling last week and I accidentally used the person's custom ball that was next to me!</s>		<pad> Oh no! What happened?</s>		oh, how he reacted next</s>
My son is in his last year of college! We are so excited and looking forward to graduation time!</s>		<pad> That's great. I'm sure he'll be a great dad.</s>		Awesome! What is he in college for?</s>
I have a birthday coming up. I really hop I get the gift I am asking for.</s>		<pad> I am sure you will.</s>		Oh, Happy early Birthday! What is it that you are hoping for?</s>
I can't believe I am telling you this, but I actually camped out to buy tickets for the new star wars movie.</s>		<pad> I'm sure you will enjoy it.</s>		Thats not strange at all</s>
I had just been returning home, and on the side of the road there was some roadkill. It used to be a deer.</s>		<pad> That is a good thing. I'm glad you found it.</s>		Oh no. That's quite unfortunate for the deer. Did you just drive past it?</s>
So today my mother brought over a whole week of meals to help me out.</s>		<pad> That's great. I'm so sorry to hear that.</s>		Aww, that was sweet of her. Does she do that often for you?</s>
I really love my life right now.</s>		<pad> I'm glad you're enjoying it.</s>		Thats really good to hear. Whats going on?</s>
feels disappointed because my friend fights with me</s> Maybe its time for a new friend.</s> no i can't because i love him a lot</s>		<pad> I hope he doesn't fight with you.</s>		ask him to stop being a jerk?</s>
I woke up needing to use the bathroom at midnight. As soon as I sit down a giant bug flew into my face!</s> That sounds horrible. I would not have been able to sleep after that.</s> I screamed so loud that I woke up my husband and he though we were being burgled!</s>		<pad> That is horrible. I hope you were able to sleep well.</s>		How terrifying. I hope you were able to find and kill it.</s>
It's so hot and our AC just broke. We had to open the windows to be able to sleep!</s> Oh wow, talk about bad timing</s> The icing on the sweaty cake was that a giant horse fly kept buzzing around the room and the moment you got comfy would land on you</s>		<pad> Oh no, that's bad timing. I'm sorry to hear that.</s>		Oh no, I hate flies</s>
When I was younger, I worked really hard to save up money for a car, but needed a bit more. But on my birthday, my parents paid the rest for me.</s> That's so cool of them. That's how parents should be</s> I agree. I really wanted to do it myself, but it's something I'll never forget.</s>		<pad> That's great. I hope you have a great birthday.</s>		We all need a little help sometimes</s>
I was pretty disillusioned when I found out door to door sales wasn't a fun time</s>		<pad> I'm sorry to hear that.</s>		Yeah... that seems like a hard gig, especially in today's day and age, where everyone's so wary, and especially since there's not often people at home during the day. You have to have good people skills to do that job, though. So, you at least probably have that going for you.</s>
My roommate's cat passed away last week. There is a heavy air over the household.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		I bet. That is so sad. I am so sorry.</s>
Are you a parent.</s> I am not, I am still young</s> When you become one, you will never forget the day it happens. You'll weep of happiness.</s>		<pad> I am sure you will.</s>		I hope so, I am still not sure if I want kids</s>
I am very faithful that my family will make it home in time</s> That's good, where are they?</s> They are in Cuba</s>		<pad> That's great, I hope they make it home in time.</s>		Wow, did they go there on vacation?</s>
I one time lost my trunks in the pool! People saw me in a way I didn't want!</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Oh no! That must have been super embarrassing! How did you react to that?</s>
One of the hardest times in my life was when I had to leave my husband and daughter when I went through a divorce.</s>		<pad> I am sorry to hear that. I hope you are feeling better soon.</s>		I am so sorry. I can't imagine what you must have went through.</s>
Playing old video games reminds of the summers where my friends and I would hang out endlessly</s>		<pad> I bet you were too.</s>		Sounds like you're feeling nostalgic. What games were you plaing?</s>
I was so proud of my daughter over the weekend.</s> That's good to hear, what did she do to make you proud?</s> She performed her first solo dance in competition, but she had been in leg braces for the last 2 years.</s>		<pad> I'm sure she did well.</s>		Oh wow! That's amazing, i'm sure that was a really touching moment!</s>
i found a bunch of dead mice the other day</s>		<pad> That's a good thing. I'm glad you found them.</s>		Oh god.. thats so gross</s>
I'm sleep training my toddler, he never slept in his crib before. He is crying and it makes me feel so bad</s> I know what that's like. I have three kids.</s> how did you cope with all the crying? We've been co sleeping since birth and it's breaking my heart to hear him cry</s>		<pad> I'm sorry to hear that. I hope you are able to get through it.</s>		They never slept in the crib lol. I won't even make my son get a haircut because he cries so much when the clippers get close. I'm the wrong one to come to for advice lol</s>
I was walking my dogs the other day and a guy came out with his dog off leash. The dog ran up and freaked out both my dogs.</s>		<pad> Oh no! That's scary. Did you get a call from the police?</s>		That must have been scary. It could have gone really badly.</s>
The other night I was just craving candy. I ate up all that we had!</s>		<pad> Oh no! I bet you were hungry!</s>		Oh, wow. Its like that sometimes. You have to give into your sweet tooth.</s>
I was promoted to a Team Leader and I felt very secure I could do well at the job. I had years of experience and was ready for a leadership role.</s> that is good news. its always good when what you learn helps you get ahead</s> Yes, thank you! I had worked very hard through the years, and I felt that I earned it, and would do well at it.</s>		<pad> I'm glad you did well.</s>		i hope you do well and excell</s>
I gave twin fawns in our yard some fresh peaches and they loved them.</s>		<pad> That's great! What did you do?</s>		Ohhh..I would love that experience! How special!</s>
I slipped and feel at work the other day. Several people saw it. I wanted to just crawl in a hole and hide afterwards.</s>		<pad> That's scary. Did you get hurt?</s>		Oh dear that's embarrassing! I hope you didn't hurt yourself.</s>
I was so thrilled to get to see Hamilton, i was really looking forward to it</s> Who is hamilton?</s> It is the broadway show, by Lin manuel miranda</s>		<pad> That is great. I hope you enjoy it.</s>		Oh okay, did you see it in NYC?</s>
I have an older friend who I try to help out. She lost her husband a couple years ago.</s> Thats very admirable of you. How do you help her?</s> We go out to lunch regularly. She is depressed and I try and get her out of the house to do things.</s>		<pad> I am sorry to hear that. I hope you are able to help her.</s>		We need more people like you in the world. Theres always someone out there who needs a helping hand and could use a friend.</s>
I found a cat in my attic yesterday!</s>		<pad> Oh no! What did you find?</s>		Oh wow! I hope that it was ok!</s>
I'm a bit nervous- I have an upcoming certification exam to take for my teaching license and it's a big deal.</s> That's an amazing accomplishment! I'm sure you'll do great! Have you been studying a lot?</s> I've been studying a WHOLE lot - so I think I'll do okay, but it's still making me feel nervous.</s>		<pad> That's great! I hope you do well!</s>		I hope you can stay calm, you seem really well prepared!</s>
I recently met up with a friend I had not seen in a while. I want to see him again soon and I think I will!</s> I love reuniting with old friends, helps me remember and appreciate the good times.</s> I agree. We went to high school and middle school together.</s>		<pad> I love reuniting with old friends.</s>		I bet that was a long time ago!</s>
I took my dog to an agility competition and she ended up winning first place!</s> Wow, congratulations! That must have taken a lot of training and practice.</s> Thanks so much! It did, but she's so hard-working and I couldn't have done it without her.</s>		<pad> That's great! I hope she does well!</s>		What kind of dog is she, and how long have you been competing like this?</s>
I went to a movie alone recently because none of my friends wanted to go with me</s>		<pad> That's a shame. Did you get a ticket?</s>		What movie did you see</s>
I went to a sketchy part of town once. Just being there put me on edge.</s>		<pad> That's a good thing. Did you get a chance to see the people?</s>		I bet. I'm not a very confrontational person so I do everything I can to avoid places like that</s>
